orbit_lat,orbit_lon,orbit_alt_km,power_battery_pct,power_solar_efficiency,power_fuel_pct,thermal_temp_c,compute_cpu_pct,compute_mem_pct,comms_signal_dbm,comms_snr_db,comms_noise_floor_db,comms_frequency_mhz,comms_latency_ms,comms_packet_loss_pct,command_seq_delta,auth_token_is_valid,security_auth_failures_last_min,security_active_sessions,label
0.0001,0.0001,550.01,87.216,0.907,75.987,20.826,34.476,47.108,-81.227,12.707,-94.828,2245.488,307.554,0.387,1,1,0,1,normal
0.0003,0.0002,549.98,87.29,0.896,76.012,20.915,34.015,44.969,-81.669,12.665,-94.922,2245.472,308.656,0.348,1,1,0,1,normal
0.0005,0.0003,549.99,87.985,0.9,76.009,20.809,31.906,44.358,-81.173,13.458,-94.9,2245.465,304.129,0.272,1,1,0,1,normal
0.0005,0.0004,549.95,87.919,0.912,75.965,20.395,32.576,42.598,-80.341,13.648,-94.794,2245.449,313.167,0.556,1,1,0,1,normal
0.0006,0.0004,549.95,87.613,0.902,75.964,20.432,31.322,43.556,-82.016,14.367,-94.582,2245.461,324.667,0.511,1,1,0,1,normal
0.0007,0.0004,549.92,87.731,0.912,76.011,20.684,33.864,42.821,-82.187,14.212,-93.802,2245.451,330.187,0.323,1,1,0,1,normal
0.0007,0.0005,549.98,87.239,0.917,75.989,20.344,36.865,44.944,-81.682,13.793,-94.312,2245.447,321.849,0.043,1,1,0,1,normal
0.0008,0.0005,549.96,86.856,0.906,75.987,19.976,37.572,47.172,-82.684,14.4,-94.381,2245.438,312.116,0.312,1,1,0,1,normal
0.0008,0.0006,550.06,86.945,0.897,75.977,20.634,37.141,46.733,-84.219,12.655,-94.987,2245.465,313.476,0.452,1,1,0,1,normal
0.0009,0.0006,550.0,86.999,0.9,75.972,20.314,37.176,46.985,-84.352,12.82,-94.864,2245.452,316.065,0.489,1,1,0,1,normal
0.001,0.0007,549.97,86.732,0.898,76.007,20.117,39.335,45.477,-85.147,13.037,-95.279,2245.481,312.344,0.803,1,1,0,1,normal
0.001,0.0007,549.94,86.547,0.91,75.968,20.221,36.769,50.571,-84.088,14.22,-95.626,2245.461,329.086,0.851,1,1,0,1,normal
0.0011,0.0007,549.84,86.523,0.916,75.995,20.458,32.682,48.789,-83.363,14.364,-95.08,2245.473,342.371,0.768,1,1,0,1,normal
0.0012,0.0008,549.87,87.051,0.898,76.0,20.763,31.716,47.625,-83.076,13.713,-95.086,2245.489,343.404,0.789,1,1,0,1,normal
0.0012,0.0008,549.88,87.739,0.906,76.008,20.906,32.665,46.23,-81.953,13.143,-95.168,2245.465,337.88,0.783,1,1,0,1,normal
0.0013,0.0008,549.88,87.597,0.893,76.007,20.499,32.716,46.745,-81.163,14.256,-95.57,2245.48,332.554,0.706,1,1,0,1,normal
0.0013,0.0009,549.98,86.728,0.89,75.996,20.052,31.734,43.849,-79.351,15.658,-95.279,2245.466,323.241,0.222,1,1,0,1,normal
0.0014,0.0009,549.88,86.35,0.902,75.98,20.18,30.566,43.836,-78.601,15.441,-95.194,2245.44,318.325,0.234,1,1,0,1,normal
0.0014,0.001,549.9,86.434,0.909,75.984,21.033,31.735,41.752,-80.148,15.041,-95.056,2245.431,323.463,0.028,1,1,0,1,normal
0.0015,0.001,549.91,86.594,0.897,75.985,20.166,32.292,41.241,-82.374,15.354,-94.71,2245.473,323.699,0.462,1,1,0,1,normal
0.0016,0.001,549.86,86.479,0.89,75.949,19.945,32.945,45.355,-82.862,14.777,-95.635,2245.476,325.687,0.75,1,1,0,1,normal
0.0016,0.0011,549.91,86.901,0.881,75.971,20.465,32.39,46.55,-82.47,15.507,-95.779,2245.478,331.831,0.947,1,1,0,1,normal
0.0017,0.0011,549.99,86.758,0.88,75.976,20.486,35.301,47.591,-81.595,13.422,-95.606,2245.49,328.002,0.698,1,1,0,1,normal
0.0017,0.0012,549.97,87.009,0.895,75.973,20.631,37.784,43.877,-80.856,13.134,-94.937,2245.551,328.695,0.615,1,1,0,1,normal
0.0018,0.0012,549.87,87.187,0.887,75.993,21.003,35.062,43.174,-82.134,12.439,-94.908,2245.53,329.742,0.196,1,1,0,1,normal
0.0018,0.0012,549.9,87.082,0.914,76.019,21.145,37.858,44.34,-83.403,11.505,-94.469,2245.522,327.204,0.343,1,1,0,1,normal
0.0019,0.0013,550.04,87.613,0.914,76.011,21.066,37.579,47.297,-81.561,11.079,-95.157,2245.558,328.527,0.221,1,1,0,1,normal
0.002,0.0013,550.0,87.706,0.932,75.972,20.831,36.369,45.941,-82.484,11.338,-95.832,2245.531,332.064,0.325,1,1,0,1,normal
0.002,0.0014,549.97,87.67,0.916,75.958,20.839,35.586,44.46,-81.539,11.555,-95.246,2245.528,328.356,0.34,1,1,0,1,normal
0.0021,0.0014,549.96,87.126,0.916,75.967,20.719,37.168,46.242,-81.757,11.754,-95.558,2245.547,312.073,0.445,1,1,0,1,normal
0.0021,0.0014,549.93,87.122,0.908,75.939,21.549,37.152,46.65,-83.718,12.7,-94.813,2245.567,312.638,0.405,1,1,0,1,normal
0.0022,0.0015,549.91,86.584,0.894,75.986,21.417,35.05,48.65,-82.823,13.687,-94.874,2245.551,338.675,0.415,1,1,0,1,normal
0.0023,0.0015,549.98,86.987,0.883,75.994,21.765,37.077,48.274,-82.467,13.026,-94.575,2245.514,329.579,0.274,1,1,0,1,normal
0.0023,0.0015,550.08,86.895,0.878,76.007,21.497,37.691,46.41,-81.79,13.006,-93.62,2245.486,333.337,0.392,1,1,0,1,normal
0.0024,0.0016,550.11,86.833,0.882,75.981,21.676,37.831,46.765,-83.027,13.363,-93.622,2245.497,311.314,0.299,1,1,0,1,normal
0.0024,0.0016,550.09,86.442,0.885,75.983,21.596,34.851,48.032,-84.655,14.061,-94.942,2245.526,302.412,0.128,1,1,0,1,normal
0.0025,0.0017,550.06,85.97,0.9,75.977,22.12,32.095,47.471,-84.305,14.06,-94.271,2245.543,301.349,0.198,1,1,0,1,normal
0.0025,0.0017,550.1,86.223,0.9,75.993,20.884,30.996,48.277,-83.36,14.856,-93.543,2245.565,295.302,0.321,1,1,0,1,normal
0.0026,0.0017,550.14,86.299,0.896,76.004,20.861,29.108,48.746,-83.26,14.083,-94.039,2245.56,288.806,0.332,1,1,0,1,normal
0.0027,0.0018,550.16,86.625,0.908,76.039,20.945,29.704,47.352,-82.948,13.854,-93.519,2245.539,296.74,0.194,1,1,0,1,normal
0.0027,0.0018,550.15,86.309,0.909,76.048,21.572,33.521,47.243,-82.741,13.053,-93.885,2245.49,299.225,0.164,1,1,0,1,normal
